순위,팀명,경기수,승,무,패,득점,실점,득실차,승점,승률
1,맨체스터 시티 FC,38,27,5,6,102,37,65,86,0.71 
2,리버풀 FC,38,26,6,6,101,50,51,84,0.68 
3,첼시 FC,38,25,7,6,71,27,44,82,0.66 
4,아스널 FC,38,24,7,7,68,41,27,79,0.63 
5,에버턴 FC,38,21,9,8,61,39,22,72,0.55 
6,토트넘 핫스퍼 FC,38,21,6,11,55,51,4,69,0.55 
7,맨체스터 유나이티드 FC,38,19,7,12,64,43,21,64,0.50 
8,사우샘프턴 FC,38,15,11,12,54,46,8,56,0.39 
9,스토크 시티 FC,38,13,11,14,45,52,-7,50,0.34 
10,뉴캐슬 유나이티드 FC,38,15,4,19,43,59,-16,49,0.39 
11,크리스탈 팰리스 FC,38,13,6,19,33,48,-15,45,0.34 
12,스완지 시티 AFC,38,11,9,18,54,54,0,42,0.29 
13,웨스트햄 유나이티드 FC,38,11,7,20,40,51,-11,40,0.29 
14,선덜랜드 AFC,38,10,8,20,41,60,-19,38,0.26 
15,애스턴 빌라 FC,38,10,8,20,39,61,-22,38,0.26 
16,헐 시티 AFC,38,10,7,21,38,53,-15,37,0.26 
17,웨스트 브로미치 알비온 FC,38,7,15,16,43,59,-16,36,0.18 
18,노리치 시티 FC,38,8,9,21,28,62,-34,33,0.21 
19,풀럼 FC,38,9,5,24,40,85,-45,32,0.24 
20,카디프 시티 FC,38,7,9,22,32,74,-42,30,0.18 
